author_name,coauthor_name
Motty Perry,Abe De Jong
Colleen Carey,A Katsambas
Frederic Koessler,A Scheinkman
John Chao,AGL Romme
Nicolas Jacquemet,Abhishek Ranjan
Xavier Freixas,Ajay S Behl
Bronwyn H. Hall,A GALICHON
Chryssi Giannitsarou,A Judd
Arpita Ghosh,A Craig MacKinlay
Yaniv Grinstein,Akhil Kumar Das
Muriel Niederle,Abednego Musau
Stephane Straub,Afshin Nikzad
Xavier Gabaix,Ajay Shah
Patrick Kehoe,Ada Ferreri Carbonell
Hamish Low,A ValdÃ©s
Isis Durrmeyer,A.
Pamela Giustinelli,Acemoglu Daron
GÃ©rard Roland,A Valcu
Efe A. Ok,A Okada
Joshua S Gans,AJ Woodall
Jianjun Miao,AE Othman
Luca Anderlini,AP Hall
Alessandro Tarozzi,A Atkinson
Christian Ghiglino,A Hortacscu
Martin Pesendorfer,AW Rosenthal
Aviv Nevo,A De Grip
Randall Wright,Adam Wantz
Tilman BÃ¶rgers,Ahmad Hosseinzadeh
Domenico Giannone,A Mobarak
Jogn Abowd,AFG Dixon
Matthew Kotchen,Aaron Drew
Lorenzo Trapani,ANURAAG Chigurupati
Enrico Moretti,A Pfaffb
Edwyna Harris,A Ogunko
William Goetzmann,Aj Hirschberg
Carine Staropoli,A Garrat
Yuanyuan Wan,Akihisa Tamura
Timothy Armstrong,Ahmat Jidoud
Bishnupriya Gupta,A Fitoussi
Joe Hirschberg,AF Olshan
Richard Upward,Adela Pellegrino
Hossein Abbasi,A Yoshimoto
Ted O'Donoghue,AgnÃ¨s BÃ©nassyâ€QuÃ©rÃ©
Ricardo Reis,Adamâ€“Alvarez Przeworski
Pamela Jakiela,Achille Weinberg
Robert E. Hall,Adenike Abiose
Marcel Fafchamps,ARUN G CHANDRASEKHAR
John Kagel,AH Meltzer
Yacine Ait-Sahalia,Akbar Zaidi
Marciano Siniscalchi,ARUN Sen
Efrem Castelnuovo,A Okonek
Ariel Pakes,A Colangelo
Jason Blevins,ABIGAEL CJ PEERLESS
Dan Levin,A Kryger
Andrew Postlewaite,A Burnett
Jan de Vries,ABDUL Quddus
Faisal Sohail,A Rodriguez-Clare
Patricio Dalton,Ad Van der Woude
Randall Kramer,Adam WA Geraghty
Vasco Carvalho,Aida Just
William J White,Ajay A Palvia
Joon Y. Park,AJ Nederhof
Keith Kuester,ALEJANDRO IZQUIERDO
Jose-Antonio Espin-Sanchez,AJ Popay
Mike Waterson,Abdoul Sam
Alexander Pfaff,A Bachellerie
Benjamin Moll,A Evans
Ian Schindler,A ten Cate
James Hansen,AB Deolikar
Ceyhun Elgin,A Gunay
Simon Board,Adriana Vacchieri
Antoinette Schoar,A Chen
George Akerlof,A Shliefer
Lori Snyder Bennear,AOJ Heyma
Stephen Morris,Aggregate Productivity Growth
Christopher Walters,A Joshua Strickland
Thijs Van Rens,Agustin Salvia
Adam M Rosen,A Abigail Payne
Ori Heffetz,Abram Falk
Karsten Hank,AL Hillman
Federico Rossi,A Roman
Helios Herrera,A Wagstaff
Massimo Motta,Aan Jaelani
Arthur Seibold,A Cruz
Naoki Aizawa,Abhi Gupta
Derya Uysal,A McGuire
Richard Blundell,Adeboye Osunkoya
Boon Han Koh,A Fletcher
Karl Storchmann,AL Ford
Yusuke Narita,Akiko Suwa
Andrzej Skrzypacz,A Cabrales
Rui Zhou,Adriaan B Houtsmuller
Barry Nalebuff,A Diercks
Simon Angus,Adriana T Larregina
Peter J. Hammond,Adam D Nowak
Guillermo Ordonez,A Tversky
Lisa Kramer,ANNE C CASE
Allen R. Sanderson,A Becker
Beata Smarzynska Javorcik,A Dowe
Alan B. Krueger,A Alessina
Costas Meghir,A Kevin Tang
Volodymyr Lugovskyy,Ailin Fan
Nicholas Barberis,Abhik Sen
Michael C. Munger,Abbas Ghandi
James Peck,AB Schnare
Ruben Enikolopov,Adria Scharf
Martin Weidner,Aaditya Mattoo
Christian-Mathias Wellbrock,A Hunt
Jawwad Noor,AC Des Marais
Wei Xiong,Aimeeâ€Noelle Swanson
Susanne Prantl,Agnese Romiti
Tommaso Porzio,Ahmer Tarar
Matthias Heinz,Aaron K Chatterji
Kim Ruhl,AM Esplin
Marcos A. Rangel,AS Blinkhorn
Nicholas Sanders,Abhisek Sasmal
Peter Diamond,Adam Copeland
Joel Slemrod,AF Salam
Alberto MartÃ­n,A Aradillas-Lopez
Betsey Stevenson,A Figliuzzi
Iian Kremer,A van Witteloostuijn
Paul N. Courant,Adam B Badawi
Wojciech Kopczuk,Ajay K Agrawal
Giacomo De Giorgi,A Sohrab
Marta Reynal-Querol,ATTILIO DI BATTISTA
Jean-Bernard Chatelain,AC Edward
Rosemarie Nagel,Adolfo Steiger-Garcao
Aleh Tsyvinski,A Arora
Alejandro RiaÃ±o,A Arppe
W. Bentley MacLeod,Ailko van der Veen
James D. Hamilton,AB Biswas
Robert J. Shiller,Adi Sasson
Michael Alexeev,Aart Gerritsen
Jennifer Doleac,ACM Dumaij
Kiminori Matsuyama,AM Evans
Matthew Weinberg,Aaron J Pietruszka
Mouez Fodha,Abe Dunn
Michael Smart,Abd Higazi
Paul Joskow,Adalbert Mayer
Miguel Gomez,Abdeslam Marfouk
Sebastien Gadat,Adrian Pagan
Dyuti Banerjee,A Nentjes
